Id,Predicted
1,2021
2,8349
3,6492
4,4547
5,8297
6,1448
7,3453
8,2440
9,5346
10,9883
11,640
12,1624
13,2954
14,706
15,319
16,8327
17,4547
18,4497
19,391
20,1631
21,7968
22,7299
23,7647
24,8704
25,1057
26,2129
27,4565
28,8739
29,6677
30,1899
31,6898
32,8352
33,3803
34,4573
35,7487
36,151
37,2170
38,1561
39,9218
40,157
41,9048
42,1061
43,3573
44,2989
45,6156
46,6447
47,9592
48,3874
49,3716
50,8329
51,8477
52,1420
53,2902
54,7903
55,9328
56,9267
57,6455
58,8451
59,2371
60,6191
61,3796
62,6291
63,5760
64,775
65,8722
66,6064
67,768
68,3701
69,1509
70,2136
71,7075
72,9865
73,6898
74,3543
75,771
76,5629
77,8673
78,4621
79,6959
80,8561
81,4925
82,267
83,652
84,2780
85,4859
86,7180
87,8930
88,4554
89,4748
90,5845
91,9956
92,6027
93,4477
94,4282
95,2981
96,1769
97,9353
98,4914
99,5286
100,3826
101,7917
102,5949
103,7889
104,6607
105,3176
106,176
107,450
108,5396
109,7505
110,7660
111,422
112,4375
113,5588
114,9790
115,5393
116,7953
117,5987
118,8429
119,7907
120,3536
121,2747
122,4935
123,8704
124,9038
125,8677
126,5163
127,3842
128,3912
129,9453
130,2536
131,6941
132,5095
133,1386
134,5004
135,8938
136,7622
137,5440
138,4795
139,8096
140,8654
141,4027
142,5197
143,5242
144,256
145,1455
146,2136
147,3387
148,1401
149,4112
150,5614
151,2426
152,6751
153,5227
154,5961
155,9826
156,4521
157,3073
158,3066
159,2959
160,8601
161,1210
162,6794
163,8599
164,7991
165,3493
166,4769
167,4360
168,1440
169,6658
170,9328
171,3801
172,2490
173,5738
174,9757
175,4267
176,7249
177,371
178,5765
179,8530
180,6135
181,8976
182,5807
183,4599
184,4911
185,8897
186,4296
187,6304
188,6841
189,24
190,7803
191,2129
192,2205
193,6934
194,6276
195,2876
196,8062
197,2016
198,9981
199,4926
200,4462
201,176
202,8839
203,9448
204,3533
205,3768
206,7381
207,7289
208,5752
209,7226
210,1613
211,5713
212,7952
213,8019
214,4361
215,7887
216,7565
217,4224
218,7036
219,3432
220,2351
221,8475
222,8966
223,6722
224,539
225,5246
226,7272
227,4612
228,5993
229,9645
230,8048
231,2596
232,8901
233,7418
234,5011
235,6148
236,1628
237,5300
238,5051
239,4649
240,4318
241,2660
242,2614
243,9493
244,3729
245,4539
246,9338
247,3185
248,2736
249,7743
250,5516
251,940
252,8967
253,6877
254,2341
255,5079
256,7554
257,2125
258,4181
259,121
260,340
261,9649
262,6763
263,7048
264,8049
265,4673
266,8683
267,2295
268,2886
269,6882
270,2167
271,6183
272,27
273,3366
274,285
275,6022
276,3117
277,3992
278,8007
279,5747
280,5700
281,662
282,7009
283,2043
284,4702
285,3310
286,8122
287,3024
288,1348
289,266
290,933
291,1184
292,2783
293,6889
294,4069
295,315
296,7171
297,9653
298,4476
299,1177
300,168
301,9904
302,5686
303,4299
304,9962
305,7957
306,5800
307,8932
308,3339
309,3954
310,4031
311,6006
312,79
313,7438
314,1738
315,1291
316,214
317,4213
318,5588
319,757
320,5152
321,4977
322,985
323,3874
324,4872
325,3406
326,1433
327,9935
328,4309
329,8147
330,4427
331,8136
332,8878
333,7254
334,7894
335,6374
336,8612
337,67
338,503
339,4114
340,94
341,2986
342,2135
343,1013
344,2443
345,3017
346,6944
347,1073
348,2569
349,7775
350,8236
351,3557
352,5965
353,4126
354,9922
355,1758
356,9096
357,3426
358,8783
359,9883
360,3370
361,9849
362,8699
363,1994
364,588
365,9448
366,7026
367,2000
368,9312
369,1853
370,9135
371,5877
372,5080
373,5258
374,6055
375,8176
376,3695
377,6272
378,380
379,3933
380,3135
381,9687
382,3924
383,4128
384,2990
385,286
386,8642
387,6825
388,4969
389,9259
390,5502
391,1208
392,1216
393,5402
394,1090
395,7837
396,9509
397,3508
398,2633
399,5605
400,810
401,1204
402,2873
403,1940
404,2794
405,1240
406,637
407,9889
408,564
409,7683
410,7596
411,5177
412,2103
413,7886
414,8101
415,377
416,2808
417,7832
418,7650
419,2593
420,1163
421,5312
422,4948
423,9173
424,7254
425,7890
426,9314
427,4716
428,6147
429,8909
430,8813
431,9073
432,1593
433,5216
434,8271
435,3951
436,1990
437,9259
438,7599
439,9678
440,8666
441,6512
442,2909
443,407
444,290
445,8908
446,4346
447,6372
448,8671
449,9961
450,784
451,3439
452,5046
453,4349
454,5782
455,8119
456,9154
457,3764
458,3695
459,7683
460,263
461,6089
462,5627
463,8691
464,4427
465,1016
466,9881
467,7482
468,1815
469,8352
470,1908
471,9765
472,1064
473,8865
474,912
475,7995
476,7531
477,771
478,4305
479,2670
480,3219
481,1823
482,9519
483,6967
484,5238
485,4600
486,5654
487,8996
488,471
489,4509
490,6930
491,807
492,6656
493,3118
494,3634
495,8696
496,8539
497,5465
498,6629
499,5783
500,1717
501,5703
502,7831
503,4535
504,294
505,7864
506,2260
507,6090
508,9886
509,6591
510,767
511,8895
512,7996
513,6507
514,7867
515,7622
516,4656
517,139
518,8834
519,743
520,1125
521,6674
522,2721
523,8494
524,6984
525,8995
526,3710
527,3073
528,2867
529,7356
530,4042
531,5032
532,9243
533,5507
534,9398
535,7519
536,3984
537,1509
538,4858
539,7320
540,6805
541,8981
542,569
543,2734
544,3779
545,9745
546,9604
547,3675
548,9323
549,5329
550,5218
551,6661
552,8104
553,2961
554,934
555,1650
556,6150
557,3597
558,3861
559,6882
560,2983
561,6498
562,7412
563,5449
564,4838
565,319
566,5436
567,2870
568,361
569,6110
570,1353
571,6841
572,6507
573,5626
574,5662
575,391
576,5932
577,4636
578,4928
579,6869
580,1603
581,8271
582,4465
583,407
584,8543
585,1312
586,7720
587,7185
588,8065
589,539
590,4645
591,2842
592,3903
593,4757
594,9574
595,1726
596,325
597,9389
598,6017
599,6743
600,373
601,5580
602,6551
603,6209
604,1731
605,835
606,4163
607,823
608,895
609,7195
610,7312
611,2278
612,3112
613,6027
614,6023
615,7834
616,5664
617,6558
618,9048
619,6111
620,8327
621,1402
622,4612
623,8493
624,7625
625,5677
626,7195
627,9771
628,9521
629,1285
630,6754
631,1543
632,6306
633,7806
634,9012
635,3123
636,1223
637,7327
638,8596
639,948
640,9912
641,7609
642,7674
643,3601
644,4667
645,6805
646,1192
647,9064
648,536
649,1091
650,2400
651,5700
652,1645
653,923
654,72
655,9077
656,2664
657,4621
658,8776
659,8190
660,1611
661,8054
662,4539
663,506
664,9136
665,6204
666,1072
667,2717
668,2730
669,1317
670,4468
671,7470
672,7142
673,885
674,8613
675,5864
676,384
677,2173
678,81
679,1679
680,2100
681,1163
682,668
683,3946
684,9541
