Id,Predicted
1,5208
2,7115
3,6492
4,5641
5,8297
6,4273
7,497
8,4976
9,9342
10,4637
11,640
12,1624
13,1148
14,4897
15,5565
16,1016
17,2669
18,4497
19,5373
20,9410
21,3676
22,8410
23,7022
24,8704
25,1081
26,5209
27,5209
28,8739
29,8592
30,8864
31,3131
32,5503
33,3681
34,1119
35,7487
36,151
37,2170
38,1561
39,9218
40,157
41,2961
42,7233
43,8683
44,2989
45,1673
46,8701
47,8396
48,3875
49,6743
50,8329
51,8061
52,1420
53,6501
54,626
55,9193
56,4649
57,6455
58,122
59,4375
60,2352
61,9135
62,6024
63,3160
64,4789
65,76
66,2299
67,4986
68,3087
69,1509
70,2136
71,1663
72,265
73,6898
74,8364
75,4785
76,8498
77,3529
78,694
79,2074
80,8561
81,4925
82,267
83,5279
84,2780
85,8539
86,7180
87,8930
88,7866
89,4748
90,7866
91,9956
92,5747
93,5195
94,1192
95,8366
96,1769
97,9353
98,1286
99,3220
100,3826
101,7015
102,4314
103,4267
104,6607
105,3176
106,4900
107,450
108,5396
109,7505
110,4995
111,4733
112,4078
113,5588
114,3645
115,1912
116,6762
117,9738
118,8429
119,4367
120,9458
121,6279
122,9134
123,8704
124,7680
125,8211
126,9858
127,4847
128,3912
129,8545
130,1679
131,3312
132,9937
133,5632
134,242
135,3474
136,7622
137,2437
138,3968
139,8341
140,8654
141,4027
142,8163
143,8048
144,256
145,1430
146,3861
147,9081
148,841
149,424
150,5614
151,2426
152,790
153,6455
154,8117
155,9134
156,8570
157,7226
158,3066
159,2221
160,6156
161,194
162,1803
163,6158
164,7837
165,3493
166,9256
167,4445
168,6539
169,4316
170,3505
171,2492
172,9638
173,3450
174,4644
175,4267
176,4939
177,156
178,2614
179,7736
180,6135
181,9009
182,105
183,8189
184,328
185,8897
186,9655
187,7188
188,5646
189,2833
190,492
191,5884
192,2205
193,3992
194,8101
195,2876
196,8062
197,2336
198,9981
199,9148
200,2760
201,1820
202,1698
203,7054
204,4414
205,3768
206,7697
207,6931
208,3813
209,7226
210,1613
211,5713
212,7952
213,8019
214,6309
215,8479
216,7565
217,5747
218,4749
219,2273
220,7402
221,7800
222,584
223,9889
224,757
225,5246
226,3129
227,4612
228,5993
229,1008
230,5232
231,8220
232,6204
233,4981
234,9467
235,872
236,852
237,5074
238,3939
239,9565
240,2590
241,9989
242,2688
243,4371
244,5417
245,115
246,3612
247,9575
248,5837
249,7743
250,1831
251,4485
252,5152
253,3748
254,2341
255,7567
256,7554
257,7557
258,7952
259,7870
260,340
261,5768
262,6763
263,6599
264,1601
265,9194
266,2760
267,6064
268,7153
269,1117
270,482
271,6183
272,7276
273,3366
274,8345
275,3414
276,8643
277,994
278,9093
279,1760
280,4418
281,4161
282,7009
283,1387
284,54
285,436
286,1009
287,432
288,8613
289,3701
290,933
291,1184
292,7613
293,2686
294,83
295,1568
296,8320
297,9653
298,4476
299,7136
300,3800
301,9904
302,438
303,8952
304,7703
305,7957
306,9873
307,536
308,3339
309,628
310,7633
311,6006
312,2369
313,9541
314,3294
315,1291
316,5008
317,422
318,5588
319,9892
320,9578
321,4977
322,985
323,9211
324,5374
325,4815
326,1433
327,7202
328,1043
329,4402
330,2180
331,4163
332,8878
333,7254
334,7894
335,7796
336,7996
337,8235
338,503
339,6809
340,1083
341,2986
342,7906
343,4155
344,7968
345,3017
346,27
347,1073
348,6854
349,7775
350,4553
351,6841
352,5965
353,2712
354,4715
355,1758
356,9096
357,4004
358,4545
